"id","set","category","relative_file","source_rect","grid","visible_pixels","has_hot_pink"
"cell_r00_c15_x240_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c15_x240_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r00_c16_x256_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c16_x256_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","73","False"
"cell_r00_c17_x272_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c17_x272_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","73","False"
"cell_r00_c18_x288_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c18_x288_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","89","False"
"cell_r00_c19_x304_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c19_x304_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r00_c20_x320_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c20_x320_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r00_c21_x336_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c21_x336_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r00_c22_x352_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c22_x352_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","169","False"
"cell_r00_c23_x368_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c23_x368_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r00_c24_x384_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c24_x384_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r01_c00_x0_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c00_x0_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","111","False"
"cell_r01_c01_x16_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c01_x16_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","110","False"
"cell_r01_c02_x32_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c02_x32_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","199","False"
"cell_r01_c03_x48_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c03_x48_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","201","False"
"cell_r01_c04_x64_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c04_x64_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","139","False"
"cell_r01_c05_x80_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c05_x80_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","134","False"
"cell_r01_c06_x96_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c06_x96_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","108","False"
"cell_r01_c07_x112_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c07_x112_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","150","False"
"cell_r01_c08_x128_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c08_x128_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","150","False"
"cell_r01_c09_x144_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c09_x144_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","197","False"
"cell_r01_c10_x160_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c10_x160_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","174","False"
"cell_r01_c11_x176_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c11_x176_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","103","False"
"cell_r01_c12_x192_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c12_x192_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","9","False"
"cell_r01_c13_x208_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c13_x208_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","2","False"
"cell_r01_c14_x224_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c14_x224_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","4","False"
"cell_r01_c15_x240_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c15_x240_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","7","False"
"cell_r01_c18_x288_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c18_x288_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","73","False"
"cell_r01_c19_x304_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c19_x304_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","200","False"
"cell_r01_c20_x320_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c20_x320_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","174","False"
"cell_r01_c21_x336_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c21_x336_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r01_c22_x352_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c22_x352_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","64","False"
"cell_r01_c23_x368_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c23_x368_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r01_c24_x384_y16","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r01_c24_x384_y16.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r02_c00_x0_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c00_x0_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","30","False"
"cell_r02_c01_x16_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c01_x16_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r02_c02_x32_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c02_x32_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r02_c03_x48_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c03_x48_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","242","False"
"cell_r02_c04_x64_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c04_x64_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","242","False"
"cell_r02_c08_x128_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c08_x128_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","39","False"
"cell_r02_c09_x144_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c09_x144_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","41","False"
"cell_r02_c10_x160_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c10_x160_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","55","False"
"cell_r02_c11_x176_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c11_x176_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","39","False"
"cell_r02_c12_x192_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c12_x192_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","28","False"
"cell_r02_c13_x208_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c13_x208_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","105","False"
"cell_r02_c14_x224_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c14_x224_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","105","False"
"cell_r02_c15_x240_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c15_x240_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","86","False"
"cell_r02_c16_x256_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c16_x256_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","16","False"
"cell_r02_c17_x272_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c17_x272_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","57","False"
"cell_r02_c18_x288_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c18_x288_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","15","False"
"cell_r02_c19_x304_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c19_x304_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","190","False"
"cell_r02_c20_x320_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c20_x320_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","166","False"
"cell_r02_c21_x336_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c21_x336_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","121","False"
"cell_r02_c22_x352_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c22_x352_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","128","False"
"cell_r02_c23_x368_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c23_x368_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","128","False"
"cell_r02_c24_x384_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c24_x384_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","156","False"
"cell_r02_c25_x400_y32","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r02_c25_x400_y32.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","156","False"
"cell_r03_c00_x0_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c00_x0_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","24","False"
"cell_r03_c01_x16_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c01_x16_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r03_c02_x32_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c02_x32_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r03_c03_x48_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c03_x48_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","156","False"
"cell_r03_c04_x64_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c04_x64_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","156","False"
"cell_r03_c08_x128_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c08_x128_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","40","False"
"cell_r03_c09_x144_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c09_x144_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","55","False"
"cell_r03_c10_x160_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c10_x160_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","55","False"
"cell_r03_c11_x176_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c11_x176_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","55","False"
"cell_r03_c12_x192_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c12_x192_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","90","False"
"cell_r03_c13_x208_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c13_x208_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","26","False"
"cell_r03_c14_x224_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c14_x224_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","26","False"
"cell_r03_c15_x240_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c15_x240_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","89","False"
"cell_r03_c16_x256_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c16_x256_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","41","False"
"cell_r03_c17_x272_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c17_x272_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","40","False"
"cell_r03_c18_x288_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c18_x288_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","64","False"
"cell_r03_c19_x304_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c19_x304_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","169","False"
"cell_r03_c20_x320_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c20_x320_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","128","False"
"cell_r03_c21_x336_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c21_x336_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","109","False"
"cell_r03_c22_x352_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c22_x352_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","156","False"
"cell_r03_c23_x368_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c23_x368_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","156","False"
"cell_r03_c24_x384_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c24_x384_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","157","False"
"cell_r03_c25_x400_y48","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r03_c25_x400_y48.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","156","False"
"cell_r04_c00_x0_y64","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r04_c00_x0_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","13","False"
"cell_r04_c02_x32_y64","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r04_c02_x32_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","40","False"
"cell_r04_c03_x48_y64","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r04_c03_x48_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","57","False"
"cell_r04_c04_x64_y64","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r04_c04_x64_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","57","False"
"cell_r04_c08_x128_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c08_x128_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","39","False"
"cell_r04_c09_x144_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c09_x144_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","40","False"
"cell_r04_c10_x160_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c10_x160_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","39","False"
"cell_r04_c11_x176_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c11_x176_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","75","False"
"cell_r04_c12_x192_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c12_x192_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","58","False"
"cell_r04_c13_x208_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c13_x208_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","104","False"
"cell_r04_c14_x224_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c14_x224_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","64","False"
"cell_r04_c15_x240_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c15_x240_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","61","False"
"cell_r04_c16_x256_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c16_x256_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","55","False"
"cell_r04_c17_x272_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c17_x272_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","56","False"
"cell_r04_c18_x288_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c18_x288_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","54","False"
"cell_r04_c19_x304_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c19_x304_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","46","False"
"cell_r04_c20_x320_y64","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r04_c20_x320_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","40","False"
"cell_r04_c21_x336_y64","by_cell","machinery_structures","by_cell/machinery_structures/cell_r04_c21_x336_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","16","False"
"cell_r04_c22_x352_y64","by_cell","machinery_structures","by_cell/machinery_structures/cell_r04_c22_x352_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","15","False"
"cell_r04_c24_x384_y64","by_cell","machinery_structures","by_cell/machinery_structures/cell_r04_c24_x384_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","157","False"
"cell_r04_c25_x400_y64","by_cell","machinery_structures","by_cell/machinery_structures/cell_r04_c25_x400_y64.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","156","False"
"cell_r05_c00_x0_y80","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r05_c00_x0_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","13","False"
"cell_r05_c01_x16_y80","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r05_c01_x16_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","254","False"
"cell_r05_c02_x32_y80","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r05_c02_x32_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","224","False"
"cell_r05_c08_x128_y80","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r05_c08_x128_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","21","False"
"cell_r05_c09_x144_y80","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r05_c09_x144_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","21","False"
"cell_r05_c10_x160_y80","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r05_c10_x160_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","21","False"
"cell_r05_c12_x192_y80","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r05_c12_x192_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","88","False"
"cell_r05_c13_x208_y80","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r05_c13_x208_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","88","False"
"cell_r05_c14_x224_y80","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r05_c14_x224_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","88","False"
"cell_r05_c15_x240_y80","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r05_c15_x240_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","64","False"
"cell_r05_c16_x256_y80","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r05_c16_x256_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","55","False"
"cell_r05_c17_x272_y80","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r05_c17_x272_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","80","False"
"cell_r05_c18_x288_y80","by_cell","pipes_machinery","by_cell/pipes_machinery/cell_r05_c18_x288_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","54","False"
"cell_r05_c21_x336_y80","by_cell","machinery_structures","by_cell/machinery_structures/cell_r05_c21_x336_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","68","False"
"cell_r05_c22_x352_y80","by_cell","machinery_structures","by_cell/machinery_structures/cell_r05_c22_x352_y80.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","86","False"
"cell_r06_c00_x0_y96","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r06_c00_x0_y96.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","154","False"
"cell_r06_c01_x16_y96","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r06_c01_x16_y96.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","128","False"
"cell_r06_c02_x32_y96","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r06_c02_x32_y96.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","92","False"
"cell_r06_c03_x48_y96","by_cell","architecture_blocks","by_cell/architecture_blocks/cell_r06_c03_x48_y96.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","36","False"
